"","K_Rate_Plus_past1","Age","xFIP_Minus_past1","SIERA_past1","Start_IP_past1","K_BB_Rate_past1"
"1",0.227487952686366,0.176558049516756,0.16291678586477,0.153360636885705,0.146567634701512,0.133108940344892
"2",0.194809886374297,0.169455374019194,0.224357359003343,0.14155875020175,0.167673436428003,0.102145193973413
"3",0.231683535281347,0.165758078554907,0.192581715502646,0.136797266145304,0.142009519545091,0.131169884970704
"4",0.232199762621408,0.192589294935068,0.159017756953865,0.121089731114512,0.176109878586409,0.118993575788738
"5",0.177221549776546,0.253664145020536,0.166744398899077,0.1484434092571,0.134973936002091,0.118952561044651
"6",0.177960373910753,0.241804520163448,0.144578267363195,0.149547796193278,0.172883170410396,0.11322587195893
"7",0.298010489699802,0.103969507735059,0.259909243689611,0.183972454249446,0.0838546249174206,0.0702836797086618
"8",0.279081859056354,0.0736907256314319,0.175588212684456,0.222535854401248,0.147711860583712,0.101391487642799
"9",0.198691822949425,0.228341153019902,0.137779695124849,0.13849218198049,0.188342315423072,0.108352831502262
"10",0.422040095861339,0.0596398533491556,0.0925124644012044,0.126320505181481,0.228585108062763,0.0709019731440572
