"","Stuff_Plus_past1","botStf_past1","Age","Start_IP_past1","K_Rate_Plus_past1","xFIP_Minus_past1","Pitching_Plus_past1","SIERA_past1","K_BB_Rate_past1"
"1",0.166612012823487,0.150999905320279,0.121841295740917,0.119826868931942,0.10246872985352,0.101418073125896,0.0942299762699785,0.0724635207715673,0.0701396171624137
"2",0.131748161535991,0.130913991784309,0.131522226500818,0.112215181456184,0.0921337912551546,0.143666173898908,0.118432329686433,0.0861536534392376,0.0532144904429635
"3",0.112249490950485,0.176814965857581,0.113909231688746,0.0953317201901162,0.114397469292359,0.112252188108321,0.13877223103077,0.0501345964149499,0.0861381064666718
"4",0.150702777093865,0.123176701414874,0.160444413943124,0.12371969778124,0.0901605966056956,0.0996399659067351,0.123760600677031,0.0676435998579828,0.0607516467194525
"5",0.118557609986722,0.112198493835683,0.215693244615972,0.103953540075738,0.104935126350997,0.102699678549012,0.08795763160513,0.0858382230651218,0.0681664519156243
"6",0.122303425271377,0.134473875552101,0.201331038117913,0.110383031247761,0.0820092119119142,0.0867960218539162,0.117394744680587,0.0886196026048421,0.0566890487595881
"7",0.0477068663222602,0.143561965600478,0.0853786739250438,0.0630806572443312,0.193239020226488,0.195246557806424,0.131085927501307,0.103576078517688,0.0371242528559796
"8",0.120258412429653,0.124243316910668,0.216231116708195,0.0962898373619984,0.138448029390671,0.0934643651190646,0.0841766718372055,0.0758610595400925,0.0510271907024521
"9",0.0867351204338803,0.159699659717769,0.12896879617121,0.133967742399647,0.117373831357794,0.0850116761218868,0.151263848768903,0.0950848696737219,0.0418944553551883
"10",0.123908371683125,0.138408016543518,0.159560256196557,0.119906894013997,0.0971239073878711,0.0905432796850439,0.128870438454266,0.0706518323465919,0.0710270036890305
