"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Mikolas, Miles","571945","2023","860","674",0.282,0.291,-0.009000000000000008,0.454,0.499,-0.044999999999999984,0.33,0.354,-0.023999999999999966,"4.78","5.44","-0.657"
"Webb, Logan","657277","2023","850","619",0.248,0.255,-0.007000000000000006,0.374,0.395,-0.02100000000000002,0.283,0.295,-0.01200000000000001,"3.25","3.63","-0.38"
"Gallen, Zac","668678","2023","846","574",0.238,0.254,-0.016000000000000014,0.382,0.427,-0.044999999999999984,0.289,0.314,-0.025000000000000022,"3.47","4.16","-0.689"
"Bassitt, Chris","605135","2023","826","569",0.235,0.242,-0.007000000000000006,0.403,0.405,-0.0020000000000000018,0.304,0.31,-0.006000000000000005,"3.60","4.04","-0.44"
"Keller, Mitch","656605","2023","825","548",0.249,0.251,-0.0020000000000000018,0.404,0.404,0,0.31,0.315,-0.0050000000000000044,"4.21","4.18","0.034"
"Cole, Gerrit","543037","2023","821","543",0.206,0.233,-0.027000000000000024,0.322,0.379,-0.056999999999999995,0.256,0.289,-0.032999999999999974,"2.63","3.48","-0.853"
"Lynn, Lance","458681","2023","808","540",0.259,0.252,0.007000000000000006,0.484,0.461,0.022999999999999965,0.347,0.337,0.009999999999999953,"5.73","4.86","0.873"
"Valdez, Framber","664285","2023","808","540",0.228,0.253,-0.024999999999999994,0.365,0.41,-0.044999999999999984,0.287,0.32,-0.03300000000000003,"3.46","4.33","-0.875"
"Gibson, Kyle","502043","2023","807","589",0.27,0.27,0,0.437,0.446,-0.009000000000000008,0.326,0.335,-0.009000000000000008,"4.73","4.80","-0.066"
"Castillo, Luis","622491","2023","802","522",0.218,0.23,-0.01200000000000001,0.395,0.408,-0.012999999999999956,0.289,0.302,-0.013000000000000012,"3.33","3.82","-0.485"
"López, Pablo","641154","2023","801","509",0.238,0.216,0.021999999999999992,0.385,0.34,0.044999999999999984,0.294,0.269,0.024999999999999967,"3.67","3.00","0.665"
"Giolito, Lucas","608337","2023","794","507",0.24,0.24,0,0.482,0.445,0.03699999999999998,0.339,0.329,0.010000000000000009,"4.88","4.61","0.272"
"Nola, Aaron","605400","2023","793","545",0.24,0.24,0,0.425,0.407,0.018000000000000016,0.303,0.298,0.0050000000000000044,"4.46","3.71","0.751"
"Corbin, Patrick","571578","2023","790","605",0.293,0.303,-0.010000000000000009,0.481,0.518,-0.03700000000000003,0.353,0.373,-0.020000000000000018,"5.20","6.16","-0.96"
"Wheeler, Zack","554430","2023","787","527",0.229,0.229,0,0.364,0.351,0.013000000000000012,0.277,0.277,0,"3.61","3.18","0.429"
"Burnes, Corbin","669203","2023","784","510",0.2,0.224,-0.023999999999999994,0.324,0.342,-0.018000000000000016,0.266,0.285,-0.01899999999999996,"3.39","3.38","0.012"
"Cease, Dylan","656302","2023","784","481",0.25,0.241,0.009000000000000008,0.405,0.381,0.02400000000000002,0.321,0.313,0.008000000000000007,"4.58","4.13","0.446"
"Berríos, José","621244","2023","782","537",0.241,0.261,-0.020000000000000018,0.397,0.437,-0.03999999999999998,0.302,0.326,-0.02400000000000002,"3.65","4.51","-0.856"
"Oviedo, Johan","670912","2023","781","525",0.237,0.249,-0.01200000000000001,0.397,0.402,-0.0050000000000000044,0.319,0.329,-0.010000000000000009,"4.31","4.61","-0.304"
"Montgomery, Jordan","656756","2023","777","559",0.247,0.253,-0.006000000000000005,0.393,0.408,-0.014999999999999958,0.298,0.308,-0.010000000000000009,"3.20","3.98","-0.784"
"Gilbert, Logan","669302","2023","770","543",0.233,0.243,-0.009999999999999981,0.409,0.41,-0.0010000000000000009,0.29,0.297,-0.007000000000000006,"3.73","3.69","0.039"
"Gausman, Kevin","592332","2023","763","466",0.233,0.235,-0.001999999999999974,0.379,0.402,-0.02300000000000002,0.292,0.303,-0.01100000000000001,"3.16","3.85","-0.688"
"Strider, Spencer","675911","2023","763","415",0.21,0.205,0.0050000000000000044,0.355,0.345,0.010000000000000009,0.279,0.273,0.006000000000000005,"3.86","3.09","0.767"
"Alcantara, Sandy","645261","2023","762","557",0.251,0.265,-0.014000000000000012,0.391,0.417,-0.025999999999999968,0.301,0.32,-0.019000000000000017,"4.14","4.33","-0.187"
"Kirby, George","669923","2023","757","560",0.246,0.262,-0.016000000000000014,0.395,0.425,-0.02999999999999997,0.284,0.305,-0.02100000000000002,"3.35","3.90","-0.549"
"Gray, Sonny","543243","2023","754","510",0.226,0.244,-0.017999999999999988,0.319,0.364,-0.044999999999999984,0.27,0.296,-0.025999999999999968,"2.79","3.66","-0.872"
"Lyles, Jordan","543475","2023","748","575",0.255,0.265,-0.010000000000000009,0.501,0.481,0.020000000000000018,0.34,0.339,0.0010000000000000009,"6.28","4.93","1.351"
"Snell, Blake","605483","2023","742","405",0.181,0.208,-0.026999999999999996,0.286,0.35,-0.064,0.266,0.301,-0.034999999999999976,"2.25","3.79","-1.54"
"Luzardo, Jesús","666200","2023","741","472",0.239,0.235,0.0040000000000000036,0.409,0.41,-0.0010000000000000009,0.307,0.307,0,"3.58","3.96","-0.384"
"Sears, JP","676664","2023","735","505",0.249,0.245,0.0040000000000000036,0.465,0.448,0.017000000000000015,0.335,0.33,0.0050000000000000044,"4.54","4.64","-0.096"
"Kremer, Dean","665152","2023","735","518",0.254,0.269,-0.015000000000000013,0.416,0.457,-0.041000000000000036,0.317,0.339,-0.02200000000000002,"4.12","4.93","-0.812"
