"PlayerID","Name","Season_future","Start_IP_future","ERA_Minus_future","Age","Start_IP_past1","xFIP_Minus_past1","SIERA_past1","K_Rate_Plus_past1","K_BB_Rate_past1","botStf_past1","Stuff_Plus_past1","Pitching_Plus_past1"
"19899_657376","Clarke Schmidt",2022,11.059999943,121.6971126,26,0,NA,NA,NA,NA,NA,NA,NA
"27498_675911","Spencer Strider",2022,107.02999955,67.44175436,23,0,NA,NA,NA,NA,NA,NA,NA
"9132_543135","Nathan Eovaldi",2022,109.02999955,93.94590339,32,182.03000183,81.48994112,3.602636448,110.736565,0.2094,51.97895443,111.0533356,109.8987684
"25379_669674","Sam Long",2022,12.030000114,75.03365625,26,22.030000114,107.3073971,4.145638768,103.857467,0.1684,44.4302461,92.64025316,97.39240506
"17874_641482","Nestor Cortes",2022,158.03000183,64.26493954,27,73.029999541,104.9987974,4.126462727,110.3034363,0.1966,50.37431856,98.3883236,101.5796497
"25436_669923","George Kirby",2022,130,91.22601669,24,0,NA,NA,NA,NA,NA,NA,NA
"8779_489119","Wade Miley",2022,35,83.46704775,35,163,95.84705772,4.518216595,77.71313291,0.1087,49.94341452,99.39545631,98.43456311
"13774_621107","Zach Eflin",2022,68,107.405802,28,105.05999907,84.73168865,3.807176637,96.08297026,0.1878,42.80432359,95.64636872,102.2775295
"3137_453286","Max Scherzer",2022,145.03000183,59.40758995,37,179.02999955,75.94181293,2.901709492,146.0872329,0.2886,58.41625529,110.4752503,105.2705796
"19911_660761","José Suarez",2022,102.02999955,104.5050632,24,71,105.7456034,4.705019031,84.20312745,0.1053,44.57627581,90.37085917,99.57546501
"20191_676477","Garrett Whitlock",2022,39,100.8646888,26,0,NA,NA,NA,NA,NA,NA,NA
"17995_657277","Logan Webb",2022,192.03000183,74.57844113,25,147.03000183,65.50421449,3.149608742,113.5738777,0.204,57.60736813,107.8211274,103.0735564
"15689_622491","Luis Castillo",2022,150.02999955,75.01407119,29,187.05999907,85.28124729,4.026880251,102.569722,0.1457,65.45065211,101.8013968,100.7781905
"12880_542881","Tyler Anderson",2022,170.05999907,65.47175992,32,166.08999976,107.9006432,4.568363756,82.10137582,0.1366,49.82755932,89.99415355,101.7426197
"26253_669194","Ryne Nelson",2022,18.030000114,36.3270445,24,0,NA,NA,NA,NA,NA,NA,NA
"8700_434378","Justin Verlander",2022,175,45.42335092,39,0,NA,NA,NA,NA,NA,NA,NA
"22286_669432","Trevor Rogers",2022,107,134.5533239,24,133,83.12836369,3.720128153,122.45329,0.2018,59.96992155,100.8470914,103.3187904
"14168_621244","José Berríos",2022,172,136.6640631,28,191.08999862,83.97263979,3.651365814,113.3258352,0.2036,50.27756123,102.9700479,102.8088605
"26378_666157","Nick Lodolo",2022,103.02999955,85.96425022,24,0,NA,NA,NA,NA,NA,NA,NA
"17085_641154","Pablo López",2022,180,92.28977984,26,102.05999907,77.9517231,3.491115233,118.0198488,0.2129,56.35558143,94.26696643,103.3511391
"2429_446372","Corey Kluber",2022,164,116.9410308,36,80,102.1158739,4.371239973,104.3300146,0.1437,50.68965358,106.6942943,101.3423423
"20167_666205","Kyle Muller",2022,12.030000114,195.6417732,24,35.060000228,116.2495776,4.913463814,104.3456337,0.1081,48.77057368,92.7265745,92.81367127
"12304_605135","Chris Bassitt",2022,181.05999907,88.62932769,33,157.03000183,91.81981512,3.855090328,108.2947708,0.1884,48.88201037,96.91076988,101.5778713
"12970_605397","Joe Musgrove",2022,181,76.60432313,29,176.03000183,85.08477239,3.695719773,117.2066921,0.1995,53.07088837,113.751759,103.6960293
"2036_477132","Clayton Kershaw",2022,126.02999955,57.76179447,34,121.05999907,67.33263073,3.095487342,126.5832278,0.252,55.06992314,114.1209212,106.0787458
"2520_458681","Lance Lynn",2022,121.05999907,101.8927972,35,157,89.1628421,3.72163394,119.1254165,0.2044,55.41303541,103.7112045,102.4184874
"14309_593423","Frankie Montas",2022,143.11999931,108.1782547,29,187,85.19242444,3.785165181,115.435807,0.1928,57.85208352,114.7974503,106.7183444
