"PlayerID","Name","Season_future","Start_IP_future","ERA_Minus_future","Age","Start_IP_past1","ERA_past1","ERA_Minus_past1","FIP_past1","FIP_Minus_past1","xFIP_past1","xFIP_Minus_past1","SIERA_past1","K_Rate_past1","K_Rate_Plus_past1","BB_Rate_past1","BB_Rate_Plus_past1","K_BB_Rate_past1","WHIP_past1","WHIP_Plus_past1","GB_Rate_past1","GB_Rate_Plus_past1","Zone_Rate_past1","F_Strike_Rate_past1","CSW_Rate_past1","Stuff_Plus_past1","Location_Plus_past1","Pitching_Plus_past1","botStf_past1","botCmd_past1","botOvr_past1","xERA_past1","Start_IP_past2","ERA_past2","ERA_Minus_past2","FIP_past2","FIP_Minus_past2","xFIP_past2","xFIP_Minus_past2","SIERA_past2","K_Rate_past2","K_Rate_Plus_past2","BB_Rate_past2","BB_Rate_Plus_past2","K_BB_Rate_past2","WHIP_past2","WHIP_Plus_past2","GB_Rate_past2","GB_Rate_Plus_past2","Zone_Rate_past2","F_Strike_Rate_past2","CSW_Rate_past2","xERA_past2","Start_IP_past3","ERA_past3","ERA_Minus_past3","FIP_past3","FIP_Minus_past3","xFIP_past3","xFIP_Minus_past3","SIERA_past3","K_Rate_past3","K_Rate_Plus_past3","BB_Rate_past3","BB_Rate_Plus_past3","K_BB_Rate_past3","WHIP_past3","WHIP_Plus_past3","GB_Rate_past3","GB_Rate_Plus_past3","Zone_Rate_past3","F_Strike_Rate_past3","CSW_Rate_past3","xERA_past3","vFB_past1","Start_IP_past","ERA_past","ERA_Minus_past","FIP_past","FIP_Minus_past","xFIP_past","xFIP_Minus_past","SIERA_past","K_Rate_past","K_Rate_Plus_past","BB_Rate_past","BB_Rate_Plus_past","K_BB_Rate_past","WHIP_past","WHIP_Plus_past","GB_Rate_past","GB_Rate_Plus_past","Zone_Rate_past","F_Strike_Rate_past","CSW_Rate_past"
"17677_605488","Jeffrey Springs",2023,16,13.765437,30,125,2.664,71.85804305,3.13642981,82.40764171,3.326606834,84.08986286,3.364325135,0.2593,116.6935677,0.0546,68.00959758,0.2047,1.104,88.1345652,0.403458213,95.26353332,0.4117,0.6452,0.2944,92.45993298,104.4590235,103.6243657,52.57599793,61.70091123,62.6833995,3.27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.49577487,125,2.664,71.85804305,3.13642981,82.40764171,3.326606834,84.08986286,3.364325135,0.2593,116.6935677,0.0546,68.00959758,0.2047,1.104,88.1345652,0.403458213,95.26353332,0.4117,0.6452,0.2944
"25385_656876","Drew Rasmussen",2023,44.060000228,64.10169087,27,146,2.835616438,76.48718022,3.256265426,85.61888221,3.558827091,90.06989657,3.742015698,0.214,96.34070202,0.0531,66.14216169,0.161,1.04109589,83.11280221,0.465558194,109.9264239,0.424,0.6267,0.2595,106.1071046,104.6766309,106.3052726,57.6654932,58.13870442,63.13177832,3.46,146,1.928571429,46.69634129,2.955744593,72.10914357,3.849005542,89.94427384,4.227413098,0.1818,78.88366927,0.0455,53.45618943,0.1364,0.761904762,58.5558098,0.504273504,119.365693,0.467,0.7273,0.2692,3.65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.47710299,292,2.3820939335,61.591760755,3.1060050095,78.86401289,3.7039163165,90.007085205,3.984714398,0.1979,87.612185645,0.0493,59.79917556,0.1487,0.901500326,70.834306005,0.484915849,114.64605845,0.4455,0.677,0.26435
"10954_594798","Jacob deGrom",2023,30.030000114,60.95650643,35,64.029999541,3.077721911,79.79786893,2.133154656,54.88995603,1.534085042,39.35762876,1.585977641,0.4268,188.6946545,0.0335,40.37172584,0.3933,0.746114403,58.32892133,0.393700787,90.6825003,0.3755,0.6987,0.3543,138.6339362,107.8376596,117.0775532,69.46890764,62.66377871,71.29135096,2.24,64.0089998623,1.076086957,26.8922526,1.235247699,28.76423711,1.614802479,37.39456825,1.743320909,0.4506,193.3042224,0.034,38.27189827,0.4167,0.554347826,42.86901561,0.439759036,101.0157714,0.385,0.6296,0.3581,1.52,68,2.382352941,56.98139165,2.264949204,52.50585225,2.457992752,55.42327739,2.701444139,0.3881,164.4063004,0.0672,72.43576337,0.3209,0.955882353,71.77101894,0.424657534,98.34702416,0.3871,0.6045,0.3463,2.73,98.87399278,196.0389994033,2.18296249073738,54.6092275961229,1.88569319593016,45.532633245369,1.88091586087161,44.2893544363628,2.02427362978426,0.421147115591029,181.774836240099,0.0453527665770775,50.8081527531572,0.375827000170128,0.756262556200479,57.9437404942862,0.419477297109109,96.7150243105112,0.382625549012919,0.643462920013646,0.352765785882203
"13619_596001","Jakob Junis",2023,12.059999943,0,30,84,4.821428571,123.9391829,4.100525048,107.4408084,3.882368822,97.28902504,4.020820513,0.1945,86.00482356,0.0521,62.78356407,0.1425,1.333333333,104.2358851,0.416356877,95.90095797,0.4525,0.6603,0.2935,99.11353276,103.4950855,102.6026353,45.34059604,67.72707488,62.03248181,4.17,84,4.60976178,102.3783592,3.206615719,75.5007184,3.52263025,82.39983811,3.67919669,0.2743,119.0235899,0.0708,83.25919832,0.2035,1.243903973,95.59961831,0.418918918,99.16155928,0.4181,0.5929,0.3017,5.54,23.030000114,6.942867169,151.983625,6.748567786,153.9290341,5.162497968,116.0833371,5.029686816,0.1495,64.26290644,0.0561,61.96777798,0.0935,1.671430985,126.3612681,0.445783132,105.3965515,0.4548,0.5701,0.2603,5.59,91.85842551,191.030000114,4.98410836313337,117.839378234007,4.02669392686946,99.0005439605551,3.87851253937818,93.0077148125615,3.99222704571403,0.224164712304288,97.9027454437432,0.0608050201510947,71.6887921610805,0.163415720002249,1.33476935207522,103.10570221135,0.421031002003778,98.4794745895071,0.437650861131524,0.619788530567636,0.293103224604829
"10310_554430","Zack Wheeler",2023,192,82.08137806,33,153,2.823529412,69.43405384,2.890207587,71.11521095,3.062818717,77.07099079,3.186808436,0.2685,118.728844,0.056,67.55779329,0.2125,1.039215686,81.24267512,0.458852867,105.6892102,0.4232,0.6722,0.2765,109.894402,105.4611111,109.598855,54.71622077,63.4844367,65.9869226,3.1,153,2.784379448,65.99735388,2.588779379,59.14238242,2.837804524,66.47551218,3.178566271,0.2909,124.8023486,0.0542,61.07767078,0.2367,1.00781411,77.93662531,0.498141263,114.4265833,0.4387,0.6678,0.2799,2.77,71,2.915492958,64.558055,3.219588806,71.09663236,3.756646305,84.4003436,4.073810391,0.184,77.96564785,0.0556,59.9160013,0.1285,1.169014085,87.77370117,0.559241706,129.5155582,0.4295,0.5833,0.2375,3.6,95.92599143,377,2.82496035967639,67.121027284244,2.82990931306101,66.2527126874536,3.10216775471618,74.1512980106366,3.35051158602653,0.261676923076923,113.516799642308,0.0551941644562334,63.4887588727056,0.206501591511936,1.05091660165252,81.1309436309284,0.493703615427056,113.722336970027,0.430676923076923,0.653671883289125,0.270535013262599
"13799_621381","Matt Strahm",2023,33.029999541,92.10178997,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19716_669160","Dustin May",2023,48,61.50731008,25,30,4.5,114.0190749,4.379096476,108.2131943,4.21405066,105.471508,4.2051087,0.2283,100.9605256,0.1102,132.9564916,0.1181,1.166666667,91.20639943,0.512820512,118.1197696,0.4219,0.5906,0.2869,103.7305907,98.91371308,100.92173,68.71547072,52.52481789,61.98383409,3.67,30,2.739130435,66.89530071,3.30046509,76.53617724,1.806708567,41.95777418,2.440271687,0.3763,161.4427667,0.0645,72.72783071,0.3118,0.956521739,73.97006615,0.56,128.6359742,0.4565,0.6344,0.3397,3.03,46.060000228,2.892855172,66.13925904,4.6271331,103.3811874,4.247301822,95.34841929,4.616150629,0.1737,73.58346753,0.0684,73.79128587,0.1053,1.135713512,85.27337672,0.524822695,121.544412,0.5041,0.6684,0.2651,4.21,98.07523115,106.060000228,3.30396777464253,79.896337323645,4.18171410208896,97.1546166251523,3.54755326127534,83.1098119996964,3.88441740287173,0.246451272708021,106.179080482746,0.0791203469503654,90.2258749078362,0.167330925757656,1.09378292053819,83.7543437626772,0.531377981238972,122.581632382458,0.467384933135688,0.636776390790215,0.292367584327579
"17085_641154","Pablo López",2023,194,86.75379552,27,180,3.75,92.28977984,3.71242981,94.63180204,3.560997885,89.36090867,3.709001716,0.2364,104.527066,0.072,86.85269233,0.1644,1.166666667,91.20639943,0.460921843,106.1657648,0.4038,0.6291,0.2808,95.00399724,103.334838,101.5012061,59.46245411,59.5165606,58.23366119,3.75,180,3.068171862,72.78131914,3.286913045,78.42680154,3.320437738,77.9517231,3.491115233,0.2751,118.0198488,0.0622,70.11797931,0.2129,1.120126235,86.62198499,0.470149253,107.9966199,0.4344,0.6244,0.278,3.52,57.029999541,3.610467118,83.10074292,3.086768571,70.89743489,3.726898196,83.73656924,3.980741072,0.2458,104.1503374,0.075,80.88660256,0.1708,1.186047169,89.05260525,0.52173913,120.8302849,0.4075,0.5958,0.268,3.18,93.52276708,417.029999541,3.43662536225151,82.6128412462021,3.44320582612218,84.3916009936228,3.47985376626259,83.6672907520452,3.65211786683289,0.254389310131028,110.299351146787,0.0681803467301388,78.8137156517405,0.186208963400889,1.14922905400372,88.9331205739459,0.47322154243491,108.961418575161,0.417513668092454,0.622517502367368,0.277841018642585
"21483_663556","Shane McClanahan",2023,115,80.43803188,26,166.03000183,2.543091383,68.59668546,3.004213155,78.86462596,2.596148457,65.27942074,2.815997968,0.3027,136.2248514,0.0593,73.86779058,0.2434,0.9258536,73.91277582,0.502487562,118.6460929,0.4354,0.6271,0.3276,112.0793089,103.0347967,107.3867073,67.28904333,59.3712022,65.53118822,2.79,166.009000549,3.429738994,83.04398802,3.307868518,80.57924113,3.234143559,75.73122881,3.623850179,0.2727,118.3255041,0.0716,84.16506489,0.2012,1.272976412,97.83396609,0.454819277,107.65947,0.4483,0.6422,0.3147,4.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.71228847,332.039002379,2.98638714851751,75.8198798481009,3.15603123348415,79.7218793207752,2.9151258315835,70.5049942394956,3.21989852539998,0.287700948741602,127.275743811848,0.0654496110159432,79.0161020865825,0.222301334563187,1.09940402833824,85.8726144540541,0.478654926996169,113.153128898874,0.441849592041111,0.634649522466727,0.321150407958889
"25436_669923","George Kirby",2023,190.05999907,81.76644086,25,130,3.392307692,91.22601669,2.989352886,77.43126844,3.329152911,84.15542831,3.322279655,0.2454,110.4498157,0.0406,50.57698411,0.2048,1.207692308,96.412533,0.455026455,107.4396963,0.4622,0.6771,0.2591,97.33236674,107.3655011,105.6824733,45.60368325,69.12674593,60.49919671,3.31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.30368421,130,3.392307692,91.22601669,2.989352886,77.43126844,3.329152911,84.15542831,3.322279655,0.2454,110.4498157,0.0406,50.57698411,0.2048,1.207692308,96.412533,0.455026455,107.4396963,0.4622,0.6771,0.2591
